X,Y,OBJECTID,DIRECCION,LOCALIZACION,LINK_FOTO
-75.5598,6.3094,1,Cr 64AA Cl 113A,Autopista Norte - Solla,https://www.medellin.gov.co/simm/camaras-cctv/imagen6.jpg
-75.5616,6.3034,2,Cr 64C Cl 104,Autopista Norte - Deprimido Feria de Ganado,https://www.medellin.gov.co/simm/camaras-cctv/imagen41.jpg
-75.5642,6.3009,3,Cr 64C Cl 104,Autopista Norte - Zenu,https://www.medellin.gov.co/simm/camaras-cctv/imagen5.jpg
-75.5684,6.2920,5,Cr 64C Cl 97,Autopista Norte - Parque Juanes,https://www.medellin.gov.co/simm/camaras-cctv/imagen35.jpg
-75.5666,6.2869,6,Cr 63 Cl 94A,Av.Regional paralela Tricentenario Qda. Minitas,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5722,6.2786,7,Cr 64C Cl 78,Terminal del Norte,https://www.medellin.gov.co/simm/camaras-cctv/imagen8.jpg
-75.5701,6.2760,8,Cr 63 Cl 77 ,Puente del Mico,https://www.medellin.gov.co/simm/camaras-cctv/imagen7.jpg
-75.5734,6.2756,9,Cr 65 Tv 78,Castipán,https://www.medellin.gov.co/simm/camaras-cctv/imagen40.jpg
-75.5744,6.2681,10,Cr 64C Cl 67,Coca-Cola,https://www.medellin.gov.co/simm/camaras-cctv/imagen4.jpg
-75.5847,6.2610,11,Cl 54 Cr 70,La Iguaná,https://www.medellin.gov.co/simm/camaras-cctv/imagen34.jpg
-75.5734,6.2599,12,Cr 62 Cl 58 ,Horacio Toro,https://www.medellin.gov.co/simm/camaras-cctv/imagen9.jpg
-75.5706,6.2580,13,Cr 57 Cl 58A,Fatelares,https://www.medellin.gov.co/simm/camaras-cctv/imagen46.jpg
-75.5786,6.2527,14,Cr 63 Cl 48,Suramericana,https://www.medellin.gov.co/simm/camaras-cctv/imagen10.jpg
-75.5647,6.2491,15,Cr 46 Cl 52,Playa x Oriental,https://www.medellin.gov.co/simm/camaras-cctv/imagen15.jpg
-75.5820,6.2471,16,Cr 63D 42C,Av Bolivariana - Deprimido Músico,https://www.medellin.gov.co/simm/camaras-cctv/imagen38.jpg
-75.5797,6.2474,17,Cr 62 Cl 44 ,Puente San Juan,https://www.medellin.gov.co/simm/camaras-cctv/imagen11.jpg
-75.5785,6.2413,18,Cr 63A Cl 38 ,Conquistadores,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5603,6.2420,19,Cr 37 Cl 47 ,Intersec Bomberos,https://www.medellin.gov.co/simm/camaras-cctv/imagen45.jpg
-75.5874,6.2398,20,Cl 34 Cr 66B,Éxito Unicentro,https://www.medellin.gov.co/simm/camaras-cctv/imagen49.jpg
-75.5771,6.2392,21,Cr 62 Cl 37 ,Puente de la 33,https://www.medellin.gov.co/simm/camaras-cctv/imagen2.jpg
-75.5724,6.2380,22,Cl 37 Cr 50,Frente AKT,https://www.medellin.gov.co/simm/camaras-cctv/imagen42.jpg
-75.6020,6.2310,23,Cr 81 Cl 30,Av 80,https://www.medellin.gov.co/simm/camaras-cctv/imagen22.jpg
-75.5759,6.2323,24,Cr 50 Cl 31 ,Puente Guayaquil,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5753,6.2305,25,Cr 49 Cl 30 ,Bancolombia,https://www.medellin.gov.co/simm/camaras-cctv/imagen12.jpg
-75.5667,6.2280,26,Cr 38 Cl 18,Av Las Palmas - Urb. Punta Piedra,https://www.medellin.gov.co/simm/camaras-cctv/imagen32.jpg
-75.5693,6.2254,27,Cr 43A Cl 26,Astor,https://www.medellin.gov.co/simm/camaras-cctv/imagen28.jpg
-75.5752,6.2229,28,Cr 48 Cl 18A,Av Industriales - Ciudad del Río,https://www.medellin.gov.co/simm/camaras-cctv/imagen33.jpg
-75.5919,6.2227,29,Cr 70 Cl14 ,Aeroparque,https://www.medellin.gov.co/simm/camaras-cctv/imagen48.jpg
-75.5804,6.2190,30,Cr 52 Cl14,Centro Empresarial Olaya,https://www.medellin.gov.co/simm/camaras-cctv/imagen26.jpg
-75.5773,6.2173,31,Cr 43 Cl 14,High Light,https://www.medellin.gov.co/simm/camaras-cctv/imagen20.jpg
-75.5780,6.2165,32,Cr 50 Cl 25,Autopista Sur Sentido N-S - Leonisa 14 y 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen37.jpg
-75.5791,6.2136,33,Cl 10 Cr 50,Puente de La 10 sobre Av. Regional,https://www.medellin.gov.co/simm/camaras-cctv/imagen47.jpg
-75.5626,6.2152,34,Cl 16 Cr 30,Restaurante Asia,https://www.medellin.gov.co/simm/camaras-cctv/imagen3.jpg
-75.5789,6.2099,35,Cr 50 Cl 4,Coltabaco,https://www.medellin.gov.co/simm/camaras-cctv/imagen13.jpg
-75.5647,6.2089,36,Cl 10A 34,Hotel 10,https://www.medellin.gov.co/simm/camaras-cctv/imagen39.jpg
-75.5591,6.2088,37,Cr 30 Cl 10,Carulla,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5548,6.2085,38,Cr 25 Cl 10,Cola del Zorro,https://www.medellin.gov.co/simm/camaras-cctv/imagen44.jpg
-75.5766,6.2087,39,Cr 48 Cl 7,Av Las Vegas - Icollantas,https://www.medellin.gov.co/simm/camaras-cctv/imagen43.jpg
-75.5783,6.2089,40,Cr 49 Cl 7 ,Inem,https://www.medellin.gov.co/simm/camaras-cctv/imagen21.jpg
-75.5605,6.2045,41,Tv 7A Dg 29D,Trv Inferior con Tesoro,https://www.medellin.gov.co/simm/camaras-cctv/imagen30.jpg
-75.5880,6.2020,42,Cr 52 Cl 8S,Boca del Caribe,https://www.medellin.gov.co/simm/camaras-cctv/imagen25.jpg
-75.5844,6.2007,43,Cr 50FF Cl 8,Sur Vivero,https://www.medellin.gov.co/simm/camaras-cctv/imagen23.jpg
-75.5803,6.1972,44,Cr 49 Cl 7 Sur,Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen14.jpg
-75.5837,6.1959,45,Cl 12 Sur Cr 50C,FLA,https://www.medellin.gov.co/simm/camaras-cctv/imagen24.jpg
-75.5763,6.1927,46,Cr 43A Cl 12 Sur,Virgen Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen27.jpg
-75.5673,6.1917,47,Cr 32 Cl 9,Trv Inferior con Balsos,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5618,6.1868,48,Cr 25 Cl 12 Sur,Trv Sup con Balsos,https://www.medellin.gov.co/simm/camaras-cctv/imagen.jpg
-75.5754,6.2587,49,Cr 65 Cl 55,Carlos E. Restrepo,https://www.medellin.gov.co/simm/camaras-cctv/imagen50.jpg
-75.5765,6.2267,50,Cr 50 Cl 25,Postobón,https://www.medellin.gov.co/simm/camaras-cctv/imagen51.jpg
-75.5801,6.2010,51,Cr 50 Cl 7 Sur,Colcafé,https://www.medellin.gov.co/simm/camaras-cctv/imagen52.jpg
-75.5804,6.1949,52,Cl 12 Sur Cr 48B,Deprimido Glorieta Aguacatala,https://www.medellin.gov.co/simm/camaras-cctv/imagen53.jpg
-75.5776,6.2470,54,Cr 59 Cl 44,Barrio Triste,https://www.medellin.gov.co/simm/camaras-cctv/imagen55.jpg
-75.5775,6.2527,55,Cr 62 Cl 49,Bomberos Liberta,https://www.medellin.gov.co/simm/camaras-cctv/imagen56.jpg
-75.5867,6.2053,56,Cr 52 Cl 3 Sur,Cristo Rey,https://www.medellin.gov.co/simm/camaras-cctv/imagen57.jpg
-75.5671,6.2963,57,Cr 64C Cl 102E,Belalcázar,https://www.medellin.gov.co/simm/camaras-cctv/imagen58.jpg
-75.5695,6.2913,58,Cr 65 Cl 97,EPS Sura Castilla,https://www.medellin.gov.co/simm/camaras-cctv/imagen59.jpg
-75.5710,6.2837,59,Cr 64C Cl 88A,Tanques Ecopetrol,https://www.medellin.gov.co/simm/camaras-cctv/imagen60.jpg
-75.5839,6.2842,60,Cr 80 Cl 80,CAI López de Mesa,https://www.medellin.gov.co/simm/camaras-cctv/imagen61.jpg
-75.5834,6.2734,61,Cr 72B Cl 73 ,Pilarica,https://www.medellin.gov.co/simm/camaras-cctv/imagen62.jpg
-75.5750,6.2627,62,Cr 64C Cl 58,Universidad Nacional,https://www.medellin.gov.co/simm/camaras-cctv/imagen63.jpg
-75.5748,6.2575,63,Cr 62 Cl 55,Minorista,https://www.medellin.gov.co/simm/camaras-cctv/imagen64.jpg
-75.5668,6.2330,64,Cr 42 Cl 31A,Angus Brangus,https://www.medellin.gov.co/simm/camaras-cctv/imagen65.jpg
-75.5538,6.2170,65,Cr 22 Cl 16 ,Chuscalito,https://www.medellin.gov.co/simm/camaras-cctv/imagen66.jpg
-75.5699,6.2143,66,Cr 43A Cl 14,Castropol,https://www.medellin.gov.co/simm/camaras-cctv/imagen67.jpg
-75.5753,6.2013,67,Cr 43C Cl 4S,Carulla Oviedo,https://www.medellin.gov.co/simm/camaras-cctv/imagen68.jpg
-75.5902,6.2394,68,Tv 39B Cl 70,Glorieta Bulerías,https://www.medellin.gov.co/simm/camaras-cctv/imagen69.jpg
-75.5623,6.2548,69,Cr 47 Cl 58,Villa Nueva,https://www.medellin.gov.co/simm/camaras-cctv/imagen70.jpg
-75.5829,6.1888,70,Cr 49 Cl 17 Sur,Tugó,https://www.medellin.gov.co/simm/camaras-cctv/imagen71.jpg
-75.5803,6.1906,71,Cr 48 Cl 16 Sur,Ford Las Vegas,https://www.medellin.gov.co/simm/camaras-cctv/imagen72.jpg
-75.5727,6.1943,72,Cr 38 Cl 9 Sur,Centro Comercial Santa Fe,https://www.medellin.gov.co/simm/camaras-cctv/imagen73.jpg
-75.5751,6.2254,73,Cr 48 Cl 20,Clinica Clofan,https://www.medellin.gov.co/simm/camaras-cctv/imagen74.jpg
-75.5799,6.2217,74,Cr 52 Cl 20,Zoológico,https://www.medellin.gov.co/simm/camaras-cctv/imagen75.jpg
-75.5750,6.2535,75,Cr 57 Cl 50,Sena,https://www.medellin.gov.co/simm/camaras-cctv/imagen76.jpg
-75.6080,6.2386,76,Cr 83C Cl 33,El Castillo,https://www.medellin.gov.co/simm/camaras-cctv/imagen77.jpg
-75.6073,6.2521,77,Cr 89 Cl 44,Everest,https://www.medellin.gov.co/simm/camaras-cctv/imagen78.jpg
-75.6195,6.2766,78,Cr 108BB Cl 62D ,Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen79.jpg
-75.5777,6.2707,79,Cr 65 Cl 71,La Florida,https://www.medellin.gov.co/simm/camaras-cctv/imagen80.jpg
-75.6409,6.2760,80,Cr 134 Cl 59,Vivero Túnel de Occidente,https://www.medellin.gov.co/simm/camaras-cctv/imagen81.jpg
-75.5622,6.2954,81,Cr 63A Cl 103,Quebrada Tinajas,https://www.medellin.gov.co/simm/camaras-cctv/imagen17.jpg
